市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
北海道 札幌市	011002	574,382 	875,197 	1,189,960 	1,486,938 	1,549,027 	1,827,678 	2,320,746 	2,335,659 	2,488,985 	2,405,987 	2,263,748 	2,322,604 	2,133,509 
北海道 函館市	012025	146,225 	205,639 	264,208 	332,964 	346,487 	359,215 	433,505 	421,247 	432,867 	398,319 	366,394 	352,869 	328,683 
北海道 小樽市	012033	74,902 	105,846 	122,129 	147,117 	147,015 	149,222 	179,166 	178,611 	184,757 	185,607 	174,255 	159,217 	141,031 
北海道 旭川市	012041	178,497 	225,658 	289,997 	348,017 	359,035 	381,332 	476,616 	492,809 	510,155 	493,749 	440,487 	423,495 	403,997 
北海道 室蘭市	012050	75,431 	107,591 	117,029 	138,784 	139,176 	127,866 	143,591 	146,664 	140,615 	121,852 	110,153 	112,748 	96,524 
北海道 釧路市	012068	110,404 	155,735 	200,718 	238,524 	248,917 	258,341 	305,217 	299,225 	276,101 	252,009 	218,798 	212,103 	187,212 
北海道 帯広市	012076	86,941 	131,713 	181,164 	216,696 	231,833 	235,719 	281,027 	299,946 	276,823 	283,007 	279,119 	261,853 	239,859 
北海道 北見市	012084	59,256 	79,654 	110,479 	138,222 	151,801 	151,335 	180,280 	195,811 	210,290 	199,803 	185,384 	180,860 	172,074 
北海道 夕張市	012092	17,149 	24,738 	25,405 	28,740 	25,472 	21,831 	19,571 	18,712 	17,095 	14,868 	13,062 	12,518 	11,343 
北海道 岩見沢市	012106	37,279 	65,960 	86,195 	94,275 	99,976 	100,381 	126,666 	129,692 	125,156 	126,239 	112,478 	98,883 	97,070 
北海道 網走市	012114	18,985 	27,714 	38,537 	48,390 	49,128 	51,410 	56,189 	60,070 	62,648 	55,892 	54,115 	51,546 	50,497 
北海道 留萌市	012122	20,540 	25,279 	30,309 	34,394 	37,113 	37,355 	40,545 	39,966 	40,751 	37,107 	37,084 	33,680 	32,396 
北海道 苫小牧市	012131	65,515 	102,351 	127,586 	159,770 	163,252 	168,594 	219,224 	221,165 	254,427 	228,119 	210,475 	204,509 	204,041 
北海道 稚内市	012149	23,897 	40,174 	43,531 	55,548 	59,501 	57,578 	64,450 	69,650 	72,728 	66,767 	63,009 	60,779 	63,886 
北海道 美唄市	012157	13,771 	20,010 	23,745 	32,879 	32,883 	32,247 	34,166 	34,404 	36,019 	28,825 	26,032 	23,416 	22,224 
北海道 芦別市	012165	14,125 	19,361 	25,220 	26,632 	26,056 	24,789 	24,280 	24,208 	20,696 	17,837 	16,260 	15,709 	13,646 
北海道 江別市	012173	20,866 	32,932 	45,026 	60,640 	56,805 	64,975 	84,627 	87,422 	98,143 	107,596 	102,087 	99,443 	91,847 
北海道 赤平市	012181	9,633 	16,127 	15,563 	18,356 	18,660 	19,785 	22,917 	15,868 	14,049 	14,723 	12,445 	11,747 	11,096 
北海道 紋別市	012190	16,275 	24,517 	32,177 	36,705 	37,876 	32,331 	36,534 	37,828 	40,863 	40,897 	36,346 	35,948 	35,661 
北海道 士別市	012203	13,764 	22,932 	27,782 	35,261 	31,784 	34,181 	31,499 	33,809 	37,070 	39,184 	33,091 	30,457 	29,534 
北海道 名寄市	012211	18,045 	31,660 	36,116 	41,826 	42,115 	43,128 	49,549 	46,275 	46,695 	42,195 	43,845 	42,502 	40,269 
北海道 三笠市	012220	7,488 	10,465 	12,727 	15,329 	14,809 	13,541 	11,997 	10,844 	10,026 	8,888 	8,610 	6,039 	12,700 
北海道 根室市	012238	17,605 	25,826 	36,021 	40,403 	41,552 	40,447 	41,960 	41,004 	44,329 	45,999 	40,406 	38,724 	35,031 
北海道 千歳市	012246	20,904 	33,872 	45,945 	65,840 	73,554 	82,021 	102,399 	116,293 	129,555 	118,448 	120,182 	120,329 	117,989 
北海道 滝川市	012254	23,626 	35,069 	46,905 	57,335 	59,017 	63,166 	70,569 	70,560 	68,939 	62,769 	58,503 	53,531 	52,487 
北海道 砂川市	012262	10,049 	21,531 	19,234 	26,047 	25,635 	24,589 	29,166 	31,607 	33,727 	31,580 	29,261 	26,175 	23,066 
北海道 歌志内市	012271	3,412 	4,470 	5,150 	6,317 	6,959 	4,460 	5,037 	4,563 	2,917 	2,891 	2,074 	2,193 	1,874 
北海道 深川市	012289	18,130 	26,460 	31,517 	37,415 	40,278 	36,262 	42,446 	42,867 	44,279 	36,411 	33,825 	32,299 	27,369 
北海道 富良野市	012297	14,491 	24,628 	28,940 	35,697 	36,429 	32,578 	40,857 	42,027 	46,522 	38,030 	41,389 	44,377 	34,426 
北海道 登別市	012301	12,710 	19,752 	27,093 	35,613 	34,816 	36,959 	42,917 	50,515 	58,100 	51,455 	47,806 	46,677 	45,667 
北海道 恵庭市	012319	13,831 	21,994 	26,848 	34,287 	39,160 	44,286 	58,749 	59,172 	60,167 	60,179 	57,058 	52,959 	53,503 
北海道 伊達市	012335	13,759 	20,863 	28,059 	35,514 	35,806 	36,319 	43,552 	47,711 	50,619 	51,254 	47,070 	44,458 	42,000 
北海道 北広島市	012343	3,188 	7,507 	12,064 	17,769 	18,620 	21,021 	28,414 	39,532 	40,175 	35,030 	36,677 	43,932 	47,923 
北海道 石狩市	012351	3,079 	5,786 	10,619 	18,183 	20,723 	21,124 	26,539 	32,881 	40,697 	39,770 	42,146 	41,881 	45,007 
北海道 北斗市	012360	7,642 	12,206 	17,100 	24,481 	16,499 	24,906 	32,372 	42,812 	59,306 	64,635 	61,782 	59,148 	55,432 
北海道 当別町	013030	6,023 	10,729 	11,119 	14,434 	14,460 	12,622 	14,209 	16,413 	19,080 	13,958 	13,972 	14,857 	12,813 
北海道 新篠津村	013048	－	－	－	－	4,195 	3,734 	－	－	－	－	3,508 	3,302 	－
北海道 松前町	013315	3,517 	5,859 	8,220 	8,706 	8,774 	8,200 	8,068 	8,808 	9,158 	8,496 	7,369 	7,388 	6,661 
北海道 福島町	013323	2,062 	3,023 	4,555 	5,762 	5,610 	4,610 	4,838 	5,161 	4,706 	4,329 	3,853 	3,511 	3,187 
北海道 知内町	013331	1,235 	2,545 	2,785 	3,538 	3,827 	3,109 	3,225 	－	－	2,899 	3,091 	－	2,732 
北海道 木古内町	013340	3,003 	5,275 	6,040 	7,655 	7,923 	7,821 	9,298 	8,863 	9,481 	7,548 	6,669 	5,704 	5,099 
北海道 七飯町	013374	3,052 	6,392 	7,126 	10,480 	11,881 	11,310 	14,359 	14,603 	17,214 	17,165 	16,726 	15,601 	14,398 
北海道 鹿部町	013439	－	1,436 	2,163 	2,037 	2,969 	2,527 	2,651 	2,694 	3,083 	3,018 	3,276 	3,133 	3,178 
北海道 森町	013455	7,413 	9,083 	11,328 	13,314 	15,975 	19,240 	20,257 	21,662 	21,454 	20,762 	19,515 	17,610 	18,647 
北海道 八雲町	013463	7,066 	11,848 	16,336 	17,822 	21,262 	20,144 	22,062 	22,426 	25,633 	25,742 	23,609 	24,317 	23,400 
北海道 長万部町	013471	4,310 	5,725 	8,051 	9,031 	9,035 	8,322 	8,570 	8,950 	8,705 	7,695 	8,857 	7,920 	6,820 
北海道 江差町	013617	5,828 	8,515 	9,652 	13,920 	12,913 	14,599 	16,333 	16,247 	16,268 	17,655 	12,252 	13,396 	10,711 
